State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
18,19,Clark,Indiana,IN,101592,9549.648000000001,25499.592,63495.0,11073.528,1625.4720000000002,91940.76,7213.031999999999,304.776,812.7360000000001,2641.3920000000003
18,21,Clay,Indiana,IN,27142,2605.6319999999996,7111.204000000001,16149.49,3311.3239999999996,597.124,26680.586,162.85199999999998,81.42599999999999,54.284000000000006,189.99399999999997
18,23,Clinton,Indiana,IN,34091,3102.281,9443.207,19806.871,4125.0109999999995,715.9110000000001,33647.817,136.364,68.182,102.273,3920.465
18,25,Crawford,Indiana,IN,11216,1446.864,2848.8639999999996,6909.056,1289.84,168.24,11092.624000000002,22.432000000000002,44.864000000000004,44.864000000000004,134.59199999999998
18,27,Daviess,Indiana,IN,30466,3777.784,9048.402,17060.96,3686.386,670.2520000000001,30009.01,182.796,60.93200000000001,91.398,974.9120000000001
18,29,Dearborn,Indiana,IN,49082,3337.5759999999996,13104.893999999998,30283.593999999997,5006.364,687.148,48100.36,392.656,98.164,196.328,343.574
18,31,Decatur,Indiana,IN,25184,2266.56,6850.047999999999,14833.375999999998,3022.08,478.496,24730.688000000002,50.368,25.184,302.20799999999997,226.65600000000003
18,33,De Kalb,Indiana,IN,41659,2916.13,11664.52,25078.718000000004,4165.9,749.862,40950.797,166.63600000000002,124.97699999999999,124.97699999999999,749.862
18,35,Delaware,Indiana,IN,116362,15592.508,28508.69,71562.63,14079.802,2210.8779999999997,106005.78199999999,7912.616,232.72400000000002,1047.258,1396.344
18,37,Dubois,Indiana,IN,40858,2288.048,10949.944000000001,24433.084,4698.67,776.302,40449.42,81.71600000000001,40.858000000000004,163.43200000000002,1797.7520000000002
18,39,Elkhart,Indiana,IN,195362,18559.39,58022.513999999996,115849.666,18168.666,3321.1539999999995,178951.592,10744.91,586.086,2344.344,24224.888000000003
18,41,Fayette,Indiana,IN,24885,2588.04,6146.595,14881.23,3334.59,522.585,24312.645,398.16,0.0,74.655,149.31
18,43,Floyd,Indiana,IN,71997,6623.723999999999,18719.22,44278.155,7775.676000000001,1223.9489999999998,67029.207,3527.8530000000005,143.99400000000003,503.9789999999999,1079.955
18,45,Fountain,Indiana,IN,17462,1623.9660000000001,4540.12,10005.726,2479.604,419.08799999999997,17287.38,34.924,34.924,52.385999999999996,314.31600000000003
18,47,Franklin,Indiana,IN,23085,1846.8,6117.525,13989.51,2562.435,392.445,22877.235,23.085,0.0,92.34,138.51
18,49,Fulton,Indiana,IN,20665,1963.175,5331.57,12171.685,2665.785,516.625,20251.7,144.65499999999997,61.995,82.66,599.285
18,51,Gibson,Indiana,IN,33408,2706.048,8418.815999999999,20044.8,4176.0,768.3839999999999,32205.312,701.568,66.816,233.856,300.672
18,53,Grant,Indiana,IN,70557,8819.625,18062.592,41346.402,9595.752,1552.2540000000001,63854.085,5080.104,282.228,423.342,1905.0390000000002
18,55,Greene,Indiana,IN,33479,3649.2110000000002,8369.75,20087.4,4285.312,736.538,33077.252,33.479,100.43699999999998,66.958,301.31100000000004
18,57,Hamilton,Indiana,IN,240685,8664.66,71964.815,150428.125,16125.895,2166.165,221189.515,7461.235,481.37,8664.66,5776.44
18,59,Hancock,Indiana,IN,63138,3156.9,16479.018,39145.56,6629.49,820.7940000000001,60928.17,820.7940000000001,126.27600000000001,441.966,757.656
18,61,Harrison,Indiana,IN,36827,2982.987,9280.404,23237.837000000003,3830.008,515.578,36237.768000000004,220.96200000000002,110.48100000000001,73.65400000000001,515.578
18,63,Hendricks,Indiana,IN,127483,5864.217999999999,34165.443999999996,80696.739,11091.020999999999,1529.796,119706.53700000001,4716.871,254.966,1529.796,2549.66
18,65,Henry,Indiana,IN,47244,4488.18,11527.535999999998,28157.424,6472.427999999999,1086.612,46393.608,472.44,94.48800000000001,141.732,425.19599999999997
18,67,Howard,Indiana,IN,84977,8752.631000000001,22518.905,50646.292,10282.216999999999,1444.609,76649.254,5948.39,339.908,849.77,1699.54
18,69,Huntington,Indiana,IN,38236,2905.9359999999997,9941.36,22597.476000000002,4779.5,879.4279999999999,37547.752,114.708,152.94400000000002,191.18,382.36
18,71,Jackson,Indiana,IN,42237,3716.856,11023.857,25511.147999999997,4899.492,760.2660000000001,41350.023,295.659,84.47399999999999,337.89599999999996,1816.191
18,73,Jasper,Indiana,IN,31876,2358.824,8670.271999999999,19061.847999999998,3538.236,605.6439999999999,31493.487999999998,191.25599999999997,31.876000000000005,63.75200000000001,1179.412
18,75,Jay,Indiana,IN,21606,2355.054,6049.68,12315.42,2722.3559999999998,518.544,21281.91,64.818,43.211999999999996,129.636,496.93799999999993
18,77,Jefferson,Indiana,IN,32430,3340.29,8172.36,19814.73,3859.17,583.74,31327.38,518.88,97.29,227.01,389.16
18,79,Jennings,Indiana,IN,28427,2785.8460000000005,7874.279,17454.178,2757.419,341.124,27858.46,255.843,56.854000000000006,85.281,255.843
18,81,Johnson,Indiana,IN,128436,8990.52,34806.156,79116.576,12972.035999999998,1541.2319999999997,124582.92,1541.2319999999997,256.872,1284.36,2440.284
18,83,Knox,Indiana,IN,38366,5256.142,9744.964,22597.574,5102.678000000001,920.784,37061.556,805.686,38.36600000000001,306.92800000000005,383.66
18,85,Kosciusko,Indiana,IN,76072,5705.4,21071.944,45491.056,8139.703999999999,1445.368,74322.344,532.5039999999999,228.21599999999998,456.43199999999996,4792.536
18,87,Lagrange,Indiana,IN,36875,2913.125,12500.625,20465.625,3429.375,479.375,36321.875,73.75,36.875,221.25,1253.75
18,89,Lake,Indiana,IN,493297,62648.719,136643.269,293511.715,54755.967000000004,8879.346,351720.761,129243.814,1479.891,5426.267000000001,66595.095
18,91,La Porte,Indiana,IN,110512,10940.688,27517.487999999998,67964.88,12819.392,2210.24,96919.024,11382.736,331.536,442.048,4309.968
18,93,Lawrence,Indiana,IN,46403,4501.090999999999,11368.735,27888.203,6218.002,928.06,45567.74600000001,232.015,139.209,139.209,464.03
18,95,Madison,Indiana,IN,130412,14345.32,32342.176,78247.2,16953.56,2869.0640000000003,117762.036,10563.372,260.824,521.648,2608.24
18,97,Marion,Indiana,IN,863133,107891.625,243403.50599999996,525647.997,81134.50200000001,13810.128,610235.031,222688.314,2589.399,12946.995,50061.71399999999
18,99,Marshall,Indiana,IN,46945,3520.875,13191.545,27697.55,5304.785,751.12,45959.155,281.67,140.835,234.725,3755.6
